State,Zone,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman and Nicobar,South,7670,7,7534,129,0.09,98.23,1.68,399001
Andhra Pradesh,South,2069770,3128,2052230,14412,0.15,99.15,0.7,91702478
Arunachal Pradesh,East,55216,42,54894,280,0.08,99.42,0.51,1711947
Assam,East,613784,3272,604465,6047,0.53,98.48,0.99,35998752
Bihar,East,726153,29,716462,9662,0,98.67,1.33,128500364
Chandigarh,North,65380,24,64536,820,0.04,98.71,1.25,1158040
Chhattisgarh,East,1006326,230,992508,13588,0.02,98.63,1.35,32199722
Daman and Diu,West,10682,0,10678,4,0,99.96,0.04,773997
Delhi,North,1440388,361,1414934,25093,0.03,98.23,1.74,19301096
Goa,West,178467,263,174830,3374,0.15,97.96,1.89,1521992
Gujarat,West,826924,226,816608,10090,0.03,98.75,1.22,70400153
Haryana,North,771420,140,761230,10050,0.02,98.68,1.3,28900667
Himachal Pradesh,North,225712,1100,220800,3812,0.49,97.82,1.69,7503010
Jammu and Kashmir,North,334006,1450,328108,4448,0.43,98.23,1.33,14999397
Jharkhand,East,348992,141,343713,5138,0.04,98.49,1.47,40100376
Karnataka,South,2991614,8056,2945415,38143,0.27,98.46,1.27,69599762
Kerala,South,5055224,69258,4950281,35685,1.37,97.92,0.71,34698876
Ladakh,North,21148,154,20783,211,0.73,98.27,1,290492
Lakshadweep,South,10365,0,10314,51,0,99.51,0.49,66001
Madhya Pradesh,West,792956,75,782357,10524,0.01,98.66,1.33,85002417
Maharashtra,West,6623344,15866,6466913,140565,0.24,97.64,2.12,124904071
Manipur,East,124432,799,121687,1946,0.64,97.79,1.56,3436948
Meghalaya,East,84013,277,82274,1462,0.33,97.93,1.74,3772103
Mizoram,East,128604,5651,122494,459,4.39,95.25,0.36,1308967
Nagaland,East,31978,163,31123,692,0.51,97.33,2.16,2073074
Odisha,East,1045209,2534,1034300,8375,0.24,98.96,0.8,47099270
Puducherry,South,128401,275,126263,1863,0.21,98.33,1.45,1646050
Punjab,North,602778,318,585889,16571,0.05,97.2,2.75,30501026
Rajasthan,West,954503,71,945478,8954,0.01,99.05,0.94,79502477
Sikkim,East,32096,121,31575,400,0.38,98.38,1.25,658019
Tamil Nadu,South,2714025,9751,2668001,36273,0.36,98.3,1.34,83697770
Telengana,South,673469,3741,665755,3973,0.56,98.85,0.59,38157311
Tripura,East,84665,116,83732,817,0.14,98.9,0.96,4184959
Uttar Pradesh,North,1710261,90,1687262,22909,0.01,98.66,1.34,231502578
Uttarakhand,North,344014,158,336453,7403,0.05,97.8,2.15,11700099
West Bengal,East,1603318,8031,1575980,19307,0.5,98.29,1.2,100896618
